Dataset,ResultType,ResultTag,Project,Total,TP,FN,FP,TN,P,R,F1,Ac,TPR,FPR
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,undertow-io-undertow,2398,91,1,1815,491,4.774396642182581,98.91304347826086,9.10910910910911,24.27022518765638,98.91304347826086,78.70771899392888
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,apache-httpcore,8375,353,1,7168,853,4.69352479723441,99.71751412429379,8.965079365079365,14.399999999999999,99.71751412429379,89.36541578356814
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,spring-projects-spring-boot,2164,13,1,1117,1033,1.1504424778761062,92.85714285714286,2.272727272727273,48.336414048059154,92.85714285714286,51.95348837209303
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,hector-client-hector,10132,6529,0,422,3181,93.92893108905194,100.0,96.86943620178042,95.83497828661666,100.0,11.712461837357758
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,orbit-orbit,3755,2936,7,68,744,97.7363515312916,99.76214746856948,98.73885992937616,98.00266311584554,99.76214746856948,8.374384236453201
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,wildfly-wildfly,3895,48,0,116,3731,29.268292682926827,100.0,45.283018867924525,97.02182284980745,100.0,3.0153366259422927
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,doanduyhai-Achilles,275,120,1,3,151,97.5609756097561,99.17355371900827,98.36065573770492,98.54545454545455,99.17355371900827,1.948051948051948
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,Alluxio-alluxio,49653,16833,25,26526,6269,38.82238981526327,99.85170245580733,55.90780012288889,46.52689666284011,99.85170245580733,80.88428114041774
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,zxing-zxing,398,322,0,0,76,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,joel-costigliola-assertj-core,992,974,0,0,18,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,activiti-activiti,46300,1360,3,7814,37123,14.824504033137126,99.77989728539985,25.81379899402107,83.11663066954644,99.77989728539985,17.388788748692612
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,ninjaframework-ninja,596,476,0,8,112,98.34710743801654,100.0,99.16666666666667,98.65771812080537,100.0,6.666666666666667
FlakeFlagger,mainPredictionNB,NotBalance+Duplicate+FailuresWithMutants,apache-hbase,3104,2519,0,262,323,90.5789284430061,100.0,95.0566037735849,91.55927835051546,100.0,44.78632478632479
